"KOL ID","KOL Name","Updates","Image Link","Source Link","AA Comments","validation error message","validation action"
"NCN_00001","Adam Jeremy Margolius","","https://my.clevelandclinic.org/provider/image?id=23656&width=235","https://my.clevelandclinic.org/staff/23656-adam-margolius","","",""
"NCN_00002","Adolfo Ramirez-Zamora","","https://mbi.ufl.edu/files/2018/06/Adolfo-Ramirez-Zamora_MCM_5365_web-preview.jpg","https://mbi.ufl.edu/tag/adolfo-ramirez-zamora/page/2/","","",""
"NCN_00003","Christina Lynn (Vladutiu) Vaughan","","https://som.cuanschutz.edu/FIMS/Content/faculty/25740/CU-Doctors-25740.jpg","https://www.uchealth.org/provider/christina-vaughan-md/","","",""
"NCN_00004","Federico Jose Rodriguez-Porcel","","https://dynl.mktgcdn.com/p/HybwQccV5zqgCTcN7_9DSx-6IgJ6zQSjpvHqBNHaJZE/300x400.png","https://providers.muschealth.org/sc/charleston/federico-jose-rodriguez-porcel-md","","",""
"NCN_00006","Jill Marie Giordano-Farmer","","https://www.gnineuro.org/sites/default/files/styles/doctor_profile_image/public/2020-03/FarmerHeadshot.jpg?itok=xjo8fsCt","https://www.gnineuro.org/physicians-finder/jill-m-giordano-farmer-do-mph","","",""
"NCN_00007","Juan Luis Ramírez-Castañeda","","https://biggsinstitute.org/wp-content/uploads/sites/31/2018/07/Juan-Ramirez-Castaneda_29.jpg","https://biggsinstitute.org/team-member/juan-ramirez-castaneda-m-d/","","",""
"NCN_00008","Nora Stella Vanegas-Arroyave","","https://cdn.bcm.edu/sites/default/files/profile_photos/u235844.jpeg","https://www.bcm.edu/people-search/nora-vanegas-arroyave-63131","","",""
"NCN_00009","Yasar Alejandro Torres-Yaghi","","https://medstarhealth-delivery.sitecorecontenthub.cloud/api/public/content/TORRES-YAGHI_Yasar_600?v=4b4ca158","https://www.medstarhealth.org/doctors/yasar-a-torres-yaghi-md","","",""
"NCN_00010","Zhigao Hong Huang","","https://cdn.baptistjax.com//image/upload/e_trim/c_pad,g_center,w_500,h_340,f_auto,f_webp,fl_lossy,q_auto:good,e_sharpen:100/BaptistJax/Doctors/silos-2.0/zhigao-huang-md-s.png","https://www.baptistjax.com/doctors/neurologist/dr-zhigao-huang-md","","",""
"NCN_00011","Jonathon Edward Blum","","https://media.licdn.com/dms/image/D5603AQF-UXJFE4INVA/profile-displayphoto-shrink_800_800/0/1698811664843?e=1710374400&v=beta&t=l_gflGbzNoGAmbXzpXJ6P_J48WaPB8vG2tCHudWM--w","https://www.linkedin.com/in/jonathon-blum-902333145/","","",""
"NCN_00012","Melissa (Mitchell) Cloyd","","https://images.cvent.com/421be68b799e468cb7f10134b46a73d8/b667755e0810dbbb2f58d48b22725c2c/2b0f300391e14b9a8e828343d4ec801c/2b59313b93aa05378854a033437701ea!_!fe1562529d4512e31d5ebd38331c59a1.png?f=webp","https://event.pharmacytimes.org/event/2b0f3003-91e1-4b9a-8e82-8343d4ec801c/websitePage:4a9f1ae7-fd5e-40ea-a47b-8748de11f650","","",""
"NCN_00013","Jody Corey-Bloom","","https://dynl.mktgcdn.com/p/ZMgZMWXEoZ7Q4S_K4hlpWSDR41mKqjFgx-nCyn_s6zg/450x450.jpg","https://providers.ucsd.edu/details/11712/neurology","","",""
"NCN_00014","Erin Elizabeth Furr-Stimming","","https://med.uth.edu/neurosciences/wp-content/uploads/sites/73/2020/04/Erin-Furr-Stimming.jpg","https://med.uth.edu/neurosciences/dr-erin-furr-stimming-md/","","",""
"NCN_00015","Juebin Huang","","https://www.umc.edu/FacultyGetProImage.ashx?iid=9ddd9b9b-6275-488c-80ac-457413d9878a","https://www.umc.edu/FacultyProfile/Huang_Juebin/","","",""
"NCN_00016","Star Michelle Roe","","https://doximity-res.cloudinary.com/images/f_auto,q_auto,t_profile_photo_320x320/yeyt6nbjtgfes3drwd3n/star-roe-barboursville-wv.jpg","https://www.doximity.com/pub/star-roe-np","","",""
"NCN_00017","John Vincent Timko","","https://dgrbehavioralhealth.com/wp-content/uploads/2013/04/john.jpg","https://dgrbehavioralhealth.com/clinicians-old/","","",""
